reportno_in,NSAvg
2497,26.8
2497,26.4
2497,28.2
2497,27.9
2497,32.6
2498,27.4
2498,26.7
2498,26.4
2498,26.6
2498,27.8
2499,25.1
2499,26.5
2499,26.5
2499,34.5
2499,30.7
3433,52.2
3433,54.1
3433,53.6
3433,53
3433,53.8
3476,52.2
3476,54.1
3476,53.6
3476,53
3476,53.8
3477,50.8
3477,52.6
3477,51.4
3477,51.4
3477,53.8
3478,53.6
3478,55.2
3478,54.6
3478,54
3478,53.9
3479,53.7
3479,53.2
3479,52.4
3479,52.2
3479,53.6
3648,32.5
3648,29.4
3648,29.8
3648,31.6
3648,30.1
3649,29.7
3649,29.7
3649,28.2
3649,30.6
3649,29.6
3650,24.4
3650,29.3
3650,28.1
3650,27.5
3650,28.1
3651,30.7
3651,30.1
3651,30.6
3651,30.6
3651,29.2
3652,31.2
3652,30.8
3652,31.4
3652,32.8
3652,30.2
4382,40.9
4382,40.4
4382,40.6
4382,40.2
4382,40.3
4383,44.9
4383,46.2
4383,44.7
4383,44
4383,44
4384,40.4
4384,39.8
4384,40.5
4384,40.4
4384,40.4
4385,38.9
4385,39.4
4385,40.1
4385,38.7
4385,40.8
4386,40.4
4386,42.8
4386,41.5
4386,40.9
4386,41.4
4387,41.1
4387,41.9
4387,43.6
4387,44.3
4387,43.6
4388,43.1
4388,42.3
4388,42.8
4388,41.9
4388,42.5
4389,41.3
4389,40
4389,40.9
4389,40.4
4389,40.7
4390,41
4390,41.6
4390,41.8
4390,41.2
4390,41.7
4391,43.3
4391,43.8
4391,43.5
4391,44
4391,43.4
4392,40.6
4392,39.8
4392,41.2
4392,41.4
4392,41.6
4393,41.5
4393,42.1
4393,41.2
4393,41.2
4393,42.8
4394,42
4394,41.5
4394,41.2
4394,41.5
4394,40.2
4395,41.2
4395,40.8
4395,41
4395,40.5
4395,41.4
4397,41.1
4397,41.2
4397,40.9
4397,40.3
4397,41.6
4398,41.1
4398,40.2
4398,39.9
4398,39.8
4398,41.9
4399,40.6
4399,40.1
4399,40.1
4399,42.4
4399,41.4
4400,39.7
4400,39.2
4400,40.4
4400,41.1
4400,41.5
4401,40.6
4401,39.6
4401,41
4401,40.6
4401,41.6
4403,40.5
4403,42.2
4403,41.5
4403,40.5
4403,41
4407,40.3
4407,41.4
4407,41.3
4407,42.1
4407,40.4
4408,39.2
4408,41.7
4408,41.8
4408,41.3
4408,41.2
4411,40.2
4411,40.4
4411,41.9
4411,40.4
4411,40.9
4412,39.5
4412,39.9
4412,41
4412,40.7
4412,40.9
4413,34.9
4413,34.7
4413,35.3
4413,34.5
4413,35
4414,36.8
4414,35.4
4414,36.3
4414,35.5
4414,34.9
4415,36.5
4415,35.7
4415,38.1
4415,35.1
4415,34.5
4416,37.9
4416,38.3
4416,37.3
4416,34.4
4416,34.6
4417,36.2
4417,35.8
4417,38
4417,34.6
4417,34.3
4418,39.5
4418,39.6
4418,44.6
4418,41.8
4418,40.4
4419,44.2
4419,41.6
4419,41.1
4419,45.5
4419,45.5
4420,39.9
4420,39.9
4420,43.7
4420,41.1
4420,42.5
4421,40.1
4421,42.6
4421,43.8
4421,41
4421,40.2
4422,39
4422,38.7
4422,41.3
4422,40.3
4422,39.8
4423,42.5
4423,41.6
4423,42.8
4423,40.5
4423,41.2
4425,40.4
4425,40.4
4425,40.2
4425,40
4425,40.4
4426,40.8
4426,43
4426,43.3
4426,40.2
4426,40.6
4427,42.7
4427,41.7
4427,41.1
4427,40.3
4427,41
4429,40.4
4429,41.2
4429,40.4
4429,41.3
4429,41.2
4430,42.5
4430,41.5
4430,41.8
4430,41.1
4430,43
4432,40
4432,39.5
4432,41.9
4432,40.6
4432,40.7
4433,40.6
4433,40.8
4433,40.8
4433,40.4
4433,40.7
4434,40.2
4434,40
4434,39.2
4434,40.9
4434,40.7
4435,38.8
4435,40
4435,40.4
4435,41.3
4435,40.5
4436,43.1
4436,41.9
4436,40.9
4436,40.3
4436,40.6
4437,40.7
4437,41.9
4437,40.4
4437,40.5
4437,38.6
4438,41.1
4438,42
4438,41
4438,40.8
4438,39.5
4439,41.2
4439,41.3
4439,41.1
4439,40.2
4439,40.4
4440,41.9
4440,41.5
4440,40.9
4440,40.3
4440,41
4523,30.9
4523,30.2
4523,32.9
4523,32.7
4523,31.8
4524,33.5
4524,34.7
4524,32.2
4524,34.7
4524,35.4
4555,39.9
4555,40.8
4555,40.3
4555,41.1
4555,41.4
5316,35.4
5316,36.6
5316,36.3
5316,37.2
5316,36.5
5318,36
5318,37.9
5318,37.2
5318,35.8
5318,36.8
5319,37
5319,37.4
5319,37.2
5319,38
5319,38.2
5320,37.3
5320,37.4
5320,36.9
5320,37.1
5320,36.5
5321,51.4
5321,50.8
5321,50.6
5321,51.3
5321,50.3
5322,51.4
5322,53.7
5322,50.8
5322,51.9
5322,51.2
6148,35.2
6148,35.1
6148,35
6148,35
6148,32.9
6148,33.4
6148,32.2
6148,32.4
6148,32.8
6148,32.2
6149,34.7
6149,33.3
6149,36.2
6149,33.9
6149,35.7
6149,33.1
6149,32.3
6149,33
6149,32.3
6149,32.2
6150,34.4
6150,31.8
6150,33.4
6150,35.8
6150,34.5
6150,32.6
6150,32.6
6150,32.4
6150,32.9
6150,32.4
6151,31.7
6151,35.4
6151,35.3
6151,37.3
